sa4_code,sa4_name,state,sa3_code,sa3_name,service_count,fee_per_hr,prc_growth_since_last_yr,number_of_services_above_cap,prc_services_above_the_cap,year
702,"Northern
Territory -
Outback",NT,70203,"Daly - Tiwi - West
Arnhem",6,5.1,21.836256352722,0,0,2022
702,"Northern
Territory -
Outback",NT,70204,East Arnhem,6,7.26,-3.1058676021395,0,0,2022
702,"Northern
Territory -
Outback",NT,70205,Katherine,14,5.23,-6.2218161454803,0,0,2022
801,"Australian
Capital Territory",ACT,80101,Belconnen,35,12.07,2.93909981693056,13,37.1428571428572,2022
801,"Australian
Capital Territory",ACT,80103,Canberra East,<5,NA,0,0,0,2022
801,"Australian
Capital Territory",ACT,80104,Gungahlin,27,12.76,5.80681038153082,18,66.6666666666667,2022
801,"Australian
Capital Territory",ACT,80105,North Canberra,31,13.1,5.44939706498275,22,70.9677419354839,2022
801,"Australian
Capital Territory",ACT,80106,South Canberra,26,12.89,5.87238819572024,16,61.5384615384616,2022
801,"Australian
Capital Territory",ACT,80107,Tuggeranong,32,12.23,3.17385147369362,15,46.875,2022
801,"Australian
Capital Territory",ACT,80108,Weston Creek,7,12.18,4.68843975618199,3,42.8571428571429,2022
