sa2_code_2016,sa2_5dig_2016,sa2_name_2016,sa3_code_2016,sa3_name_2016,sa4_code_2016,sa4_name_2016,gcc_code_2016,gcc_name_2016,state_code_2016,state_name_2016,areasqkm_2016,cent_long,cent_lat,service_approval_number,service_name,mgmt_type,suburb,postcode,state,seifa,aria,nqs_max_total_places,service_sub_type,nqs_overall_rating,dataset,mgmt_type_adj
124011451,11451,Blue Mountains - North,12401,Blue Mountains,124,Sydney - Outer West and Blue Mountains,1GSYD,Greater Sydney,1,New South Wales,595.0366,150.44522510870158,-33.602490755910274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124021456,11456,Blue Mountains - South,12402,Blue Mountains - South,124,Sydney - Outer West and Blue Mountains,1GSYD,Greater Sydney,1,New South Wales,2456.9093,150.28793914748294,-33.99342162643901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125011475,11475,Rookwood Cemetery,12501,Auburn,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales,3.015,151.05565645819146,-33.874196619092025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125031486,11486,Smithfield Industrial,12503,Merrylands - Guildford,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales,4.3017,150.94395232987614,-33.84309633291866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125031487,11487,Yennora Industrial,12503,Merrylands - Guildford,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales,2.0787,150.9663753304463,-33.860118815018275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127011592,11592,Badgerys Creek,12701,Bringelly - Green Valley,127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales,17.5774,150.72092777847098,-33.89031013800988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128021537,11537,Royal National Park,12802,Sutherland - Menai - Heathcote,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,139.3336,151.06772006769134,-34.11135445385866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197979799,19799,Migratory - Offshore - Shipping (NSW),19797,Migratory - Offshore - Shipping (NSW),197,Migratory - Offshore - Shipping (NSW),19799,Migratory - Offshore - Shipping (NSW),1,New South Wales,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199999499,19499,No usual address (NSW),19999,No usual address (NSW),199,No usual address (NSW),19499,No usual address (NSW),1,New South Wales,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204011061,21061,Upper Yarra Valley,20401,Upper Goulburn Valley,204,Hume,2RVIC,Rest of Vic.,2,Victoria,856.2714,145.97602356854173,-37.651499065122174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204021064,21064,Benalla Region,20402,Wangaratta - Benalla,204,Hume,2RVIC,Rest of Vic.,2,Victoria,2105.3238,146.01658351510568,-36.58150631892883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205021080,21080,Alps - East,20502,Gippsland - East,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,2071.2826,148.0359429079852,-36.99411035711574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205021083,21083,Lake King,20502,Gippsland - East,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,93.8744,147.76357581105356,-37.88305865335233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205031088,21088,French Island,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,170.2291,145.36490518119894,-38.349977583916306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205031092,21092,Wilsons Promontory,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,481.5078,146.36770627177626,-38.96021168184329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205051099,21099,Alps - West,20505,Wellington,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,2955.6801,146.8478521568852,-37.44823338287831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206041127,21127,West Melbourne,20604,Melbourne City,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,6.1992,144.92206860621587,-37.810145457322214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208031184,21184,Braeside,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,9.0819,145.12225822363803,-37.99799489096178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210011230,21230,Niddrie - Essendon West,21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,2.8027,144.8848507328254,-37.744975756616796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211011255,21255,Lysterfield,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,18.494,145.29078724347897,-37.92694314948254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297979799,29799,Migratory - Offshore - Shipping (Vic.),29797,Migratory - Offshore - Shipping (Vic.),297,Migratory - Offshore - Shipping (Vic.),29799,Migratory - Offshore - Shipping (Vic.),2,Victoria,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299999499,29499,No usual address (Vic.),29999,No usual address (Vic.),299,No usual address (Vic.),29499,No usual address (Vic.),2,Victoria,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301031014,31014,Brisbane Port - Lytton,30103,Wynnum - Manly,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,32.7859,153.19767258164563,-27.381173111936242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302041043,31043,Deagon,30204,Sandgate,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,2.8177,153.05961535631033,-27.32776915672068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303031061,31061,Macgregor (Qld),30303,Mt Gravatt,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,2.6853,153.0730492555189,-27.565357827073733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304011085,31085,Westlake,30401,Centenary,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,1.9039,152.9128148066398,-27.54862940957068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304041099,31099,Enoggera Reservoir,30404,The Gap - Enoggera,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,37.694,152.87059428714943,-27.433484709323785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304041102,31102,Mount Coot-tha,30404,The Gap - Enoggera,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,14.5975,152.9485187853145,-27.474897538876572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305011107,31107,Highgate Hill,30501,Brisbane Inner,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,1.21,153.01757984351073,-27.487594120907843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305021114,31114,Bulimba,30502,Brisbane Inner - East,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,2.0607,153.05930923216448,-27.448610669662653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306021150,31150,Lamb Range,30602,Cairns - South,306,Cairns,3RQLD,Rest of Qld,3,Queensland,212.6428,145.6812813071789,-17.052711487106112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306031162,31162,Wooroonooran,30603,Innisfail - Cassowary Coast,306,Cairns,3RQLD,Rest of Qld,3,Queensland,754.2885,145.80070665008117,-17.380401413406897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308031206,31206,Bouldercombe,30803,Rockhampton,308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,1348.7805,150.62560765302933,-23.627893791425013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308031209,31209,Glenlee - Rockyview,30803,Rockhampton,308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,208.0475,150.4582134214983,-23.23159803393471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308031218,31218,Rockhampton Region - East,30803,Rockhampton,308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,680.8738,150.70561277259213,-23.36626950951381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308031219,31219,Rockhampton Region - North,30803,Rockhampton,308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,7572.5912,150.01930411276166,-22.796570460996683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308031221,31221,Shoalwater Bay,30803,Rockhampton,308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,3176.9624,150.45985885857434,-22.628467602294336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308051532,31532,Callemondah,30805,Gladstone,308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,32.726,151.20657490349797,-23.83977233591767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308051537,31537,South Trees,30805,Gladstone,308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,24.1106,151.2957885939761,-23.882100086904916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309031239,31239,Paradise Point - Hollywell,30903,Gold Coast - North,309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,5.6629,153.39517112145836,-27.885120540082955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309041241,31241,Guanaba - Springbrook,30904,Gold Coast Hinterland,309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,303.7769,153.25528794936312,-28.115332062384546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309071254,31254,Jacobs Well - Alberton,30907,Ormeau - Oxenford,309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,153.7124,153.3385597694538,-27.748145531711465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309101269,31269,Main Beach,30910,Surfers Paradise,309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,3.5492,153.42578796809445,-27.9567443736013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310011276,31276,Wacol,31001,Forest Lake - Oxley,310,Ipswich,3GBRI,Greater Brisbane,3,Queensland,19.0567,152.92199323022396,-27.58861807657254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310021279,31279,Lake Manchester - England Creek,31002,Ipswich Hinterland,310,Ipswich,3GBRI,Greater Brisbane,3,Queensland,112.8254,152.76396659236272,-27.41434167948331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310041301,31301,New Chum,31004,Springfield - Redbank,310,Ipswich,3GBRI,Greater Brisbane,3,Queensland,5.9998,152.83271271286188,-27.617921183063267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
